PPM,%Drag Reduction
0,0
0.440251572,3.037735849
0.754716981,5.459119497
1.121593291,7
1.540880503,8.650943396
1.855345912,10.08176101
2.274633124,12.17295597
3.113207547,15.36477987
3.951781971,18.66666667
4.528301887,20.64779874
5.262054507,22.40880503
6.048218029,24.83018868
6.78197065,26.59119497
8.039832285,29.3427673
9.507337526,32.09433962
11.07966457,34.73584906
12.44234801,36.71698113
13.70020964,38.14779874
14.48637317,39.13836478
15.6918239,40.23899371
17.26415094,41.77987421
18.57442348,42.88050314
19.77987421,43.76100629
21.98113208,45.30188679
23.34381551,46.18238994
25.17819706,47.06289308
26.4884696,47.72327044
28.58490566,48.71383648
30.47169811,49.59433962
32.25366876,50.14465409
33.93081761,50.80503145
35.50314465,51.35534591
37.38993711,52.01572327
38.90985325,52.45597484
40.7966457,53.00628931
42.89308176,53.44654088
44.51781971,53.88679245
46.66666667,54.32704403
48.29140461,54.54716981
49.62264151,54.67924528
51.19496855,55.0754717
52.95597484,55.33962264
54.46540881,55.60377358
56.10062893,55.86792453
57.61006289,56.26415094
58.86792453,56.26415094
59.87421384,56.52830189
