Viscosity (cSt),PPM,%Drag Reduction
11.40,8.6,22.2420
11.30,8.6,22.2894
9.30,9.3,26.0399
9.30,9.7,26.4132
9.47,9.0,25.0903
11.42,8.6,22.2326
11.52,8.6,22.1852
11.60,8.7,22.2811
11.72,8.7,22.2237
11.71,8.7,22.2285
77.85,8.6,15.1278
11.90,8.7,22.1376
9.50,12.5,27.9230
9.50,8.1,23.7153
9.50,9.4,25.5543
9.50,9.6,25.7243
9.50,9.7,25.8021
12.78,10.0,23.2315
12.20,8.7,21.9942
8.40,8.7,27.9247
8.40,8.8,28.0707
8.20,8.7,28.5346
8.14,8.7,28.7175
8.10,8.7,28.8395
8.00,8.7,29.1444
8.20,8.7,28.5346
7.50,8.6,30.5201
7.90,8.7,29.4493
